Year,"Medicamente continind alcaloizi,tone","Carne,miitone","Mezeluri,miitone","Sucuri de fructe si legume,mii litri",Sucuriconcentrate,"Uleiuri brute ,mii tone","Margarine,tone","Lapte si frisca,miitone","Cascaval s ibrinza ,tone","Produse fermentate,tone","Inghetata ,miilitri","Crupe,grisuri si aglomerate,miitone","Nutreturi,miitone","Piine si produse de panificatie,miitone",Alte produse de panificatie,"Paste fainoase,miitone","Maioneze si alte sosurie,tone",Numarul probelor de apa cu abateri de la normele sanitare,Cantitatea apei utilizata repetat ,"Deseuri colectate ,miimetricubi",Rata fertilitatii,"CO2 Emissions,MetricTonsPerCapita"
2005,300.2,5.9,14.2,25624.9,14641.6,83.2,3390,20.8,2380,21032,12225,3,48.8,108.4,2.7,4.4,882.6,1455,368,2521,2.758,2.47
2006,313.2,9,14.6,27721.2,9323.6,81.2,2624,50.3,2008,21378,13258,4.3,60.6,112.3,3.5,3,574.4,941,338,2507.5,2.64,2.77
2007,543.1,14.3,17,47994.7,21073.5,84.7,2225,55.3,2035,23851,12646,4.7,42.9,122.8,3.4,3.9,554.7,1560,360,2604.3,2.6,2.83
2008,1762.5,12.1,18.9,32196.2,15237,79.2,1944,66.6,2519,23934.4,11477,6.4,49.1,137.5,3.8,3.8,634.3,1061,350,2623.6,2.56,2.84
2009,1779.2,15.3,14.1,23214.5,11747.4,83.7,1658,61.4,1309,24464.4,10671,7.2,56.8,130.6,3.9,3.8,621.2,1207,358,2607.6,2.51,2.67
2010,2342,23.7,13.2,27115,9654.4,80.7,1274,65.1,1779,25615,12491,5.6,71.6,129,4.8,4.2,702.8,1129,365,2650.4,2.46,2.9
2011,1362.7,27.8,14.5,29715.3,12887,89.7,1119,62.9,2087,27314,12375,4.8,73.3,130,4.2,5,606.5,825,359,2655.6,2.46,2.92
2012,1700,31,15.9,46055.2,24956.3,93.5,788,62.4,2113,27314.3,14064,3.6,94.9,129.3,4.5,5.7,509,1157,334,2769.7,2.5,2.84
2013,1519.3,34.5,17.2,49059.1,26233.6,53.9,706,65.3,2435,30215.7,15160,4.4,96.3,132.5,5.7,5.6,549,673,334,2898.8,2.55,2.51
2014,1770.3,43.1,16.3,49074.9,27592.2,109.6,1747.555556,78.7,2427,31541.7,15633,4.7,97.3,128.4,6.1,6.3,486,846,334,2879.9,2.58,2.7
2015,1652.6,44.6,17.2,39242.5,17707.8,109.5,1747.555556,80,2469,32658.9,15969,5.7,79,131.5,7.2,5.6,476,1068,311,2923,2.11,2.83
2016,1593.6,44.2,16.4,49687.1,30931.8,79.9,1747.555556,86,2402.4,32743.6,16472.9,5.3,95.4,129.2,7.5,6.5,466,630,297,2925,1.94,2.9
2017,1899.4,54.3,18.4,55689.1,35609.1,86.8,1747.555556,80,2868.9,31107,16962.6,6.7,87.5,130.1,7.8,6.3,540,871,307,3095.8,1.7,2.93
2018,1625.2,60.1,19.7,63210.8,44210.5,106.2,1747.555556,69.1,2821.5,29527.1,17579.6,6.2,85.6,128.2,7.5,6.3,827,508,315,2996.3,1.51,3.16
2019,1779,60.5,21.2,81812.1,59491.5,124.6,1747.555556,61.3,2582.4,29499.6,16926.4,6.6,70.8,130.9,8.1,6.1,1066,522,307,3204,1.26,3.35
2020,1824,67.6,22.3,42984.9,24065.4,154.8,1747.555556,56.5,2873.9,27826.8,13183.5,6,80.6,123.1,7.8,6.9,1768,456,315,3336.3,1.25,3.27
2021,1863.2,63.2,25.5,59464,50400.5,104.5,1747.555556,55.4,3010.7,27974.4,13183.8,5.9,84.4,129.5,8.2,7.2,2141,1225,307,3311.4,1.66,3.32
2022,2271.5,70.7,29.5,57262.5,46439.2,230.2,1747.555556,48,2744.3,26968.8,15703.2,5.6,95.9,118.7,9.3,7.8,2578,826,275,3345.6,1.2,3.37
